sessionId,stationId,distanceKm,durationMin,durationInTrafficMin,energyNominalKwh,energyNeededKwh,chargingPoints,temperatureC,windSpeedMs,windDirectionDeg,cost,roadTrafficCondition,congestionLevel,payAtLocation,operator,connectionType,currentType,selected
6a76a555f17427d6b920bce9,674f97ff3dc8e5d2ac0083c9,2.4,6.0,6.0,0.095,0.133,2.0,16.5,4.68,20.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a555f17427d6b920bce9,674f97ff3dc8e5d2ac008478,12.1,16.0,16.0,1.799,2.518,1.0,16.5,4.68,20.0,,light,unknown,unknown,unknown,chademo,unknown,0
6a76a555f17427d6b920bce9,674f97ff3dc8e5d2ac008533,5.6,11.0,11.0,0.911,1.275,1.0,16.5,4.68,20.0,,light,unknown,unknown,evie networks,chademo,unknown,0
6a76a555f17427d6b920bce9,674f97ff3dc8e5d2ac008684,10.2,19.0,19.0,0.958,1.341,1.0,16.5,4.68,20.0,0.3,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a555f17427d6b920bce9,674f97ff3dc8e5d2ac008685,10.1,18.0,18.0,0.94,1.316,1.0,16.5,4.68,20.0,0.25,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a555f17427d6b920bce9,674f97ff3dc8e5d2ac00868b,9.8,17.0,17.0,1.25,1.749,4.0,16.5,4.68,20.0,,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a555f17427d6b920bce9,674f98013dc8e5d2ac00873b,12.1,16.0,16.0,1.799,2.518,2.0,16.5,4.68,20.0,0.45,light,unknown,no,chargefox,ccs (type 2),dc,0
6a76a576f17427d6b920d7bd,674f97ff3dc8e5d2ac008685,6.9,11.0,11.0,0.71,0.994,1.0,15.9,5.08,26.0,0.25,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),1
6a76a576f17427d6b920d7bd,674f97ff3dc8e5d2ac008355,5.4,11.0,13.0,0.537,0.752,4.0,15.9,5.08,26.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a576f17427d6b920d7bd,674f97ff3dc8e5d2ac0083c9,8.2,16.0,17.0,0.82,1.148,2.0,15.9,5.08,26.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a576f17427d6b920d7bd,674f97ff3dc8e5d2ac00843c,10.8,18.0,18.0,1.205,1.687,1.0,15.9,5.08,26.0,,light,unknown,unknown,unknown,type 2 (socket only),unknown,0
6a76a576f17427d6b920d7bd,674f97ff3dc8e5d2ac008478,7.8,12.0,13.0,0.873,1.223,1.0,15.9,5.08,26.0,,light,unknown,unknown,unknown,chademo,unknown,0
6a76a576f17427d6b920d7bd,674f97ff3dc8e5d2ac008482,7.5,10.0,10.0,0.779,1.09,2.0,15.9,5.08,26.0,,light,unknown,unknown,chargefox,unknown,unknown,0
6a76a576f17427d6b920d7bd,674f97ff3dc8e5d2ac008682,10.2,15.0,15.0,1.038,1.453,6.0,15.9,5.08,26.0,,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a576f17427d6b920d7bd,674f97ff3dc8e5d2ac008684,7.0,12.0,12.0,0.722,1.011,1.0,15.9,5.08,26.0,0.3,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a576f17427d6b920d7bd,674f98013dc8e5d2ac00873b,7.8,12.0,13.0,0.874,1.223,2.0,15.9,5.08,26.0,0.45,light,unknown,no,chargefox,ccs (type 2),dc,0
6a76a576f17427d6b920d7bd,674f98013dc8e5d2ac0087cf,3.4,6.0,6.0,0.302,0.423,1.0,15.9,5.08,26.0,,light,unknown,no,(unknown operator),type 2 (tethered connector),ac (three-phase),0
6a76a5a0f17427d6b920f291,674f97ff3dc8e5d2ac008355,3.6,6.0,7.0,0.281,0.393,4.0,16.5,4.68,20.0,,light,unknown,unknown,unknown,unknown,unknown,1
6a76a5a0f17427d6b920f291,674f97ff3dc8e5d2ac0083c9,0.9,2.0,1.0,0.131,0.184,2.0,16.5,4.68,20.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a5a0f17427d6b920f291,674f97ff3dc8e5d2ac008478,11.0,16.0,18.0,1.23,1.722,1.0,16.5,4.68,20.0,,light,unknown,unknown,unknown,chademo,unknown,0
6a76a5a0f17427d6b920f291,674f97ff3dc8e5d2ac008533,8.0,14.0,14.0,1.265,1.771,1.0,16.5,4.68,20.0,,light,unknown,unknown,evie networks,chademo,unknown,0
6a76a5a0f17427d6b920f291,674f97ff3dc8e5d2ac008601,7.6,10.0,11.0,0.583,0.817,6.0,16.5,4.68,20.0,0.78,light,unknown,no,tesla (including non-tesla),ccs (type 2),dc,0
6a76a5a0f17427d6b920f291,674f97ff3dc8e5d2ac008684,10.2,16.0,18.0,1.071,1.499,1.0,16.5,4.68,20.0,0.3,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a5a0f17427d6b920f291,674f97ff3dc8e5d2ac008685,10.1,16.0,18.0,1.053,1.474,1.0,16.5,4.68,20.0,0.25,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a5a0f17427d6b920f291,674f98013dc8e5d2ac00873b,11.0,16.0,18.0,1.229,1.721,2.0,16.5,4.68,20.0,0.45,light,unknown,no,chargefox,ccs (type 2),dc,0
6a76a5a0f17427d6b920f291,674f98013dc8e5d2ac0087cf,7.3,12.0,14.0,0.658,0.921,1.0,16.5,4.68,20.0,,light,unknown,no,(unknown operator),type 2 (tethered connector),ac (three-phase),0
6a76a5e2f17427d6b9212174,674f98013dc8e5d2ac0087cf,5.8,10.0,10.0,0.545,0.763,1.0,15.9,5.08,26.0,,light,unknown,no,(unknown operator),type 2 (tethered connector),ac (three-phase),1
6a76a5e2f17427d6b9212174,674f97ff3dc8e5d2ac008355,4.9,11.0,12.0,0.532,0.745,4.0,15.9,5.08,26.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a5e2f17427d6b9212174,674f97ff3dc8e5d2ac0083c9,7.7,18.0,17.0,0.73,1.022,2.0,15.9,5.08,26.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a5e2f17427d6b9212174,674f97ff3dc8e5d2ac008478,10.8,18.0,18.0,1.165,1.631,1.0,15.9,5.08,26.0,,light,unknown,unknown,unknown,chademo,unknown,0
6a76a5e2f17427d6b9212174,674f97ff3dc8e5d2ac008482,8.8,10.0,10.0,0.989,1.384,2.0,15.9,5.08,26.0,,light,unknown,unknown,chargefox,unknown,unknown,0
6a76a5e2f17427d6b9212174,674f97ff3dc8e5d2ac008533,12.2,21.0,21.0,1.58,2.212,1.0,15.9,5.08,26.0,,light,unknown,unknown,evie networks,chademo,unknown,0
6a76a5e2f17427d6b9212174,674f97ff3dc8e5d2ac008682,13.2,21.0,20.0,1.321,1.85,6.0,15.9,5.08,26.0,,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a5e2f17427d6b9212174,674f97ff3dc8e5d2ac008684,9.9,18.0,17.0,0.997,1.396,1.0,15.9,5.08,26.0,0.3,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a5e2f17427d6b9212174,674f97ff3dc8e5d2ac008685,9.8,17.0,17.0,0.984,1.377,1.0,15.9,5.08,26.0,0.25,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a5e2f17427d6b9212174,674f98013dc8e5d2ac00873b,10.8,18.0,18.0,1.165,1.631,2.0,15.9,5.08,26.0,0.45,light,unknown,no,chargefox,ccs (type 2),dc,0
6a76a61cf17427d6b92149a4,674f97ff3dc8e5d2ac008685,3.1,6.0,6.0,0.334,0.468,1.0,15.9,5.08,26.0,0.25,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),1
6a76a61cf17427d6b92149a4,674f97ff3dc8e5d2ac008355,9.3,19.0,20.0,0.931,1.303,4.0,15.9,5.08,26.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a61cf17427d6b92149a4,674f97ff3dc8e5d2ac0083e4,7.0,11.0,11.0,0.875,1.225,1.0,15.9,5.08,26.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a61cf17427d6b92149a4,674f97ff3dc8e5d2ac00843c,7.1,13.0,12.0,0.848,1.187,1.0,15.9,5.08,26.0,,light,unknown,unknown,unknown,type 2 (socket only),unknown,0
6a76a61cf17427d6b92149a4,674f97ff3dc8e5d2ac008478,6.9,12.0,11.0,0.812,1.137,1.0,15.9,5.08,26.0,,light,unknown,unknown,unknown,chademo,unknown,0
6a76a61cf17427d6b92149a4,674f97ff3dc8e5d2ac008682,5.4,9.0,9.0,0.58,0.812,6.0,15.9,5.08,26.0,,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a61cf17427d6b92149a4,674f97ff3dc8e5d2ac008684,3.2,7.0,6.0,0.342,0.479,1.0,15.9,5.08,26.0,0.3,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a61cf17427d6b92149a4,674f98013dc8e5d2ac00873b,6.9,12.0,11.0,0.812,1.137,2.0,15.9,5.08,26.0,0.45,light,unknown,no,chargefox,ccs (type 2),dc,0
6a76a61cf17427d6b92149a4,674f98013dc8e5d2ac0087cf,6.1,10.0,10.0,0.514,0.72,1.0,15.9,5.08,26.0,,light,unknown,no,(unknown operator),type 2 (tethered connector),ac (three-phase),0
6a76a61cf17427d6b92149a4,674f98013dc8e5d2ac008883,6.9,11.0,11.0,0.813,1.138,2.0,15.9,5.08,26.0,,light,unknown,unknown,(unknown operator),type 2 (socket only),ac (single-phase),0
6a76a638f17427d6b9215dca,674f98013dc8e5d2ac0087cf,4.7,8.0,9.0,0.472,0.661,1.0,16.5,4.68,20.0,,light,unknown,no,(unknown operator),type 2 (tethered connector),ac (three-phase),1
6a76a638f17427d6b9215dca,674f97ff3dc8e5d2ac008355,2.3,5.0,6.0,0.236,0.331,4.0,16.5,4.68,20.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a638f17427d6b9215dca,674f97ff3dc8e5d2ac0083c9,5.0,12.0,11.0,0.517,0.723,2.0,16.5,4.68,20.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a638f17427d6b9215dca,674f97ff3dc8e5d2ac008478,9.8,17.0,17.0,1.058,1.481,1.0,16.5,4.68,20.0,,light,unknown,unknown,unknown,chademo,unknown,0
6a76a638f17427d6b9215dca,674f97ff3dc8e5d2ac008482,10.6,12.0,12.0,1.168,1.635,2.0,16.5,4.68,20.0,,light,unknown,unknown,chargefox,unknown,unknown,0
6a76a638f17427d6b9215dca,674f97ff3dc8e5d2ac008533,10.2,18.0,18.0,1.467,2.054,1.0,16.5,4.68,20.0,,light,unknown,unknown,evie networks,chademo,unknown,0
6a76a638f17427d6b9215dca,674f97ff3dc8e5d2ac008601,12.5,19.0,21.0,1.056,1.479,6.0,16.5,4.68,20.0,0.78,light,unknown,no,tesla (including non-tesla),ccs (type 2),dc,0
6a76a638f17427d6b9215dca,674f97ff3dc8e5d2ac008684,8.9,16.0,16.0,0.906,1.269,1.0,16.5,4.68,20.0,0.3,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a638f17427d6b9215dca,674f97ff3dc8e5d2ac008685,8.9,16.0,15.0,0.898,1.257,1.0,16.5,4.68,20.0,0.25,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a638f17427d6b9215dca,674f98013dc8e5d2ac00873b,9.8,17.0,17.0,1.058,1.481,2.0,16.5,4.68,20.0,0.45,light,unknown,no,chargefox,ccs (type 2),dc,0
6a76a65ff17427d6b921789e,674f97ff3dc8e5d2ac008685,1.6,4.0,4.0,0.077,0.108,1.0,16.4,4.67,17.0,0.25,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),1
6a76a65ff17427d6b921789e,674f97ff3dc8e5d2ac0083e4,4.2,7.0,7.0,0.492,0.688,1.0,16.4,4.67,17.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a65ff17427d6b921789e,674f97ff3dc8e5d2ac00843c,3.7,8.0,8.0,0.408,0.571,1.0,16.4,4.67,17.0,,light,unknown,unknown,unknown,type 2 (socket only),unknown,0
6a76a65ff17427d6b921789e,674f97ff3dc8e5d2ac008478,3.7,7.0,7.0,0.385,0.539,1.0,16.4,4.67,17.0,,light,unknown,unknown,unknown,chademo,unknown,0
6a76a65ff17427d6b921789e,674f97ff3dc8e5d2ac008682,6.3,11.0,10.0,0.539,0.755,6.0,16.4,4.67,17.0,,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a65ff17427d6b921789e,674f97ff3dc8e5d2ac008684,1.7,5.0,5.0,0.09,0.125,1.0,16.4,4.67,17.0,0.3,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a65ff17427d6b921789e,674f97ff3dc8e5d2ac00868b,4.9,9.0,9.0,0.531,0.744,4.0,16.4,4.67,17.0,,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a65ff17427d6b921789e,674f98013dc8e5d2ac00873b,3.7,7.0,7.0,0.385,0.539,2.0,16.4,4.67,17.0,0.45,light,unknown,no,chargefox,ccs (type 2),dc,0
6a76a65ff17427d6b921789e,674f98013dc8e5d2ac0087cf,6.5,10.0,10.0,0.448,0.628,1.0,16.4,4.67,17.0,,light,unknown,no,(unknown operator),type 2 (tethered connector),ac (three-phase),0
6a76a65ff17427d6b921789e,674f98013dc8e5d2ac008883,4.0,7.0,7.0,0.437,0.612,2.0,16.4,4.67,17.0,,light,unknown,unknown,(unknown operator),type 2 (socket only),ac (single-phase),0
6a76a686f17427d6b9219370,674f98013dc8e5d2ac0087cf,13.1,25.0,27.0,1.221,1.71,1.0,20.0,0.0,0.0,,light,unknown,no,(unknown operator),type 2 (tethered connector),ac (three-phase),1
6a76a686f17427d6b9219370,674f97ff3dc8e5d2ac008355,9.5,20.0,20.0,0.985,1.378,4.0,16.9,5.38,18.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a686f17427d6b9219370,674f97ff3dc8e5d2ac0083c9,8.9,20.0,19.0,0.941,1.317,2.0,16.9,5.38,18.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a686f17427d6b9219370,674f97ff3dc8e5d2ac008533,15.4,29.0,30.0,1.993,2.79,1.0,16.9,5.38,18.0,,light,unknown,unknown,evie networks,chademo,unknown,0
6a76a686f17427d6b9219370,674f97ff3dc8e5d2ac008601,10.4,22.0,22.0,0.962,1.347,6.0,16.9,5.38,18.0,0.78,light,unknown,no,tesla (including non-tesla),ccs (type 2),dc,0
6a76a686f17427d6b9219370,674f97ff3dc8e5d2ac008684,16.4,30.0,31.0,1.682,2.355,1.0,16.9,5.38,18.0,0.3,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a686f17427d6b9219370,674f97ff3dc8e5d2ac008685,16.4,30.0,31.0,1.699,2.378,1.0,16.9,5.38,18.0,0.25,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a6b9f17427d6b921b4f2,674f98013dc8e5d2ac0087cf,4.8,7.0,7.0,0.426,0.597,1.0,16.0,5.1,26.0,,light,unknown,no,(unknown operator),type 2 (tethered connector),ac (three-phase),1
6a76a6b9f17427d6b921b4f2,674f97ff3dc8e5d2ac008355,8.3,14.0,14.0,0.813,1.139,4.0,16.0,5.1,26.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a6b9f17427d6b921b4f2,674f97ff3dc8e5d2ac00843c,12.1,19.0,19.0,1.332,1.865,1.0,16.0,5.1,26.0,,light,unknown,unknown,unknown,type 2 (socket only),unknown,0
6a76a6b9f17427d6b921b4f2,674f97ff3dc8e5d2ac008478,9.2,14.0,14.0,0.989,1.385,1.0,16.0,5.1,26.0,,light,unknown,unknown,unknown,chademo,unknown,0
6a76a6b9f17427d6b921b4f2,674f97ff3dc8e5d2ac008482,5.6,7.0,7.0,0.607,0.849,2.0,16.0,5.1,26.0,,light,unknown,unknown,chargefox,unknown,unknown,0
6a76a6b9f17427d6b921b4f2,674f97ff3dc8e5d2ac008682,11.6,16.0,16.0,1.178,1.65,6.0,16.0,5.1,26.0,,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a6b9f17427d6b921b4f2,674f97ff3dc8e5d2ac008684,8.3,13.0,13.0,0.826,1.156,1.0,16.0,5.1,26.0,0.3,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a6b9f17427d6b921b4f2,674f97ff3dc8e5d2ac008685,8.2,13.0,12.0,0.815,1.141,1.0,16.0,5.1,26.0,0.25,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a6b9f17427d6b921b4f2,674f98013dc8e5d2ac00873b,9.2,14.0,14.0,0.989,1.385,2.0,16.0,5.1,26.0,0.45,light,unknown,no,chargefox,ccs (type 2),dc,0
6a76a6b9f17427d6b921b4f2,674f98013dc8e5d2ac008883,11.9,18.0,18.0,1.325,1.854,2.0,16.0,5.1,26.0,,light,unknown,unknown,(unknown operator),type 2 (socket only),ac (single-phase),0
